team,scorer,goals,penalty_goals,own_goals,first_goal_date,last_goal_date
Spain,Lamine Yamal,6,1,0,2023-09-08,2025-06-05
Australia,Jackson Irvine,6,0,0,2022-06-07,2025-03-25
Uzbekistan,Abbosbek Fayzullaev,6,0,0,2024-01-18,2025-03-25
New Zealand,Elijah Just,6,0,0,2022-03-21,2025-03-24
Germany,Jamal Musiala,6,0,0,2024-06-14,2025-03-23
IR Iran,Mohammad Mohebi,6,0,0,2024-02-03,2025-03-20
Korea Republic,Hwang Hee-chan,6,1,0,2022-12-02,2025-03-20
Australia,Kusini Yengi,6,1,0,2024-03-26,2024-11-19
Switzerland,Remo Freuler,6,0,0,2022-09-27,2024-10-15
Spain,Joselu,6,0,0,2023-03-25,2024-09-08
USA,Christian Pulisic,6,2,0,2022-02-02,2024-06-23
Japan,Ritsu Dōan,6,0,0,2022-11-23,2024-06-11
Brazil,Richarlison,6,0,0,2022-03-24,2022-12-05
Czechia,Pavel Šulc,5,0,0,2024-09-10,2026-03-31
Senegal,Habib Diallo,5,0,0,2024-01-19,2025-12-30
Belgium,Jérémy Doku,5,0,0,2025-06-09,2025-11-18
Netherlands,Tijjani Reijnders,5,0,0,2024-09-07,2025-11-17
Netherlands,Xavi Simons,5,1,0,2024-07-10,2025-11-17
Norway,Antonio Nusa,5,0,0,2024-11-14,2025-11-16
Haiti,Frantzdy Pierrot,5,0,0,2023-06-25,2025-11-13
Cote d'Ivoire,Franck Kessié,5,1,0,2022-01-20,2025-10-14
Turkiye,Merih Demiral,5,0,0,2022-06-04,2025-10-14
Turkiye,Arda Güler,5,0,0,2023-06-19,2025-10-11
Austria,Konrad Laimer,5,0,0,2023-10-13,2025-10-09
Norway,Thelo Aasgaard,5,1,0,2025-03-22,2025-09-09
Czechia,Václav Černý,5,0,0,2023-06-17,2025-09-05
Morocco,Azzedine Ounahi,5,0,0,2022-03-29,2025-09-05
Colombia,James Rodríguez,5,3,0,2022-03-29,2025-09-04
Mexico,Raúl Jiménez,5,2,0,2022-02-02,2025-07-06
Curacao,Gervane Kastaneer,5,0,0,2024-06-05,2025-06-10
Japan,Daichi Kamada,5,0,0,2023-11-16,2025-06-10
Japan,Takefusa Kubo,5,0,0,2023-11-21,2025-06-10
Korea Republic,Lee Jae-sung,5,0,0,2024-03-26,2025-06-10
Uzbekistan,Eldor Shomurodov,5,0,0,2023-11-16,2025-06-10
Croatia,Mario Pašalić,5,0,0,2022-06-10,2025-06-06
Spain,Nico Williams,5,0,0,2023-09-08,2025-06-05
Cote d'Ivoire,Sébastien Haller,5,1,0,2022-01-16,2025-03-24
New Zealand,Kosta Barbarouses,5,0,0,2024-06-18,2025-03-24
Saudi Arabia,Salem Al-Dawsari,5,1,0,2022-03-29,2025-03-20
Sweden,Alexander Isak,5,0,0,2023-09-09,2024-11-16
IR Iran,Mehdi Ghayedi,5,0,0,2024-01-14,2024-11-14
Germany,Niclas Füllkrug,5,0,0,2022-11-27,2024-09-07
Korea Republic,Cho Gue-sung,5,0,0,2022-01-27,2024-01-30
Egypt,Mostafa Mohamed,5,1,0,2023-11-16,2024-01-28
Sweden,Emil Forsberg,5,1,0,2022-06-02,2023-11-19
Australia,Jamie Maclaren,5,1,0,2022-01-27,2023-11-16
Brazil,Neymar,5,2,0,2022-03-24,2023-09-08
Czechia,Ladislav Krejčí,4,0,0,2023-03-24,2026-03-31
Sweden,Anthony Elanga,4,0,0,2022-06-05,2026-03-31
Egypt,Omar Marmoush,4,1,0,2024-01-18,2026-01-10
Morocco,Ismael Saibari,4,0,0,2025-03-21,2026-01-09
Cote d'Ivoire,Amad Diallo,4,0,0,2025-10-14,2026-01-06
Senegal,Pape Gueye,4,0,0,2024-01-15,2026-01-03
South Africa,Lyle Foster,4,0,0,2025-03-25,2025-12-29
South Africa,Oswin Appollis,4,1,0,2025-09-05,2025-12-29
Algeria,Riyad Mahrez,4,1,0,2025-10-09,2025-12-28
Congo DR,Cédric Bakambu,4,0,0,2025-09-05,2025-12-27
Senegal,Nicolas Jackson,4,1,0,2025-09-09,2025-12-23
Iraq,Mohanad Ali,4,0,0,2023-11-21,2025-11-18
Czechia,Tomáš Chorý,4,0,0,2023-11-20,2025-11-17
Germany,Nick Woltemade,4,0,0,2025-10-13,2025-11-17
Germany,Serge Gnabry,4,0,0,2022-12-01,2025-11-17
Scotland,Ryan Christie,4,1,0,2022-09-24,2025-11-15
Switzerland,Granit Xhaka,4,2,0,2023-03-25,2025-11-15
France,Michael Olise,4,0,0,2025-03-23,2025-11-13
Turkiye,Kenan Yıldız,4,0,0,2024-11-19,2025-10-14
Cabo Verde,Dailon Livramento,4,0,0,2025-03-25,2025-10-13
Netherlands,Virgil van Dijk,4,1,0,2022-09-25,2025-10-12
Tunisia,Mohamed Ali Ben Romdhane,4,2,0,2024-06-05,2025-10-10
Scotland,Lyndon Dykes,4,0,0,2022-09-21,2025-10-09
Ghana,Alexander Djiku,4,0,0,2022-01-18,2025-10-08
Ghana,Thomas Partey,4,0,0,2022-03-29,2025-10-08
Colombia,Jhon Córdoba,4,0,0,2024-06-28,2025-09-09
Colombia,Luis Suárez,4,0,0,2025-09-09,2025-09-09
Senegal,Pape Matar Sarr,4,0,0,2023-11-18,2025-09-09
England,Declan Rice,4,0,0,2023-03-23,2025-09-06
Switzerland,Manuel Akanji,4,0,0,2022-09-24,2025-09-05
Belgium,Maxim De Cuyper,4,0,0,2024-10-10,2025-09-04
Brazil,Lucas Paquetá,4,1,0,2022-03-29,2025-09-04
Canada,Tajon Buchanan,4,0,0,2022-03-27,2025-06-24
Korea Republic,Oh Hyeon-gyu,4,0,0,2024-10-10,2025-06-10
Croatia,Ante Budimir,4,1,0,2023-11-21,2025-06-09
Argentina,Julián Alvarez,4,0,0,2024-09-05,2025-06-05
Paraguay,Julio Enciso,4,1,0,2024-06-24,2025-06-05
Bosnia and Herzegovina,Ermedin Demirović,4,0,0,2022-09-23,2025-03-24
Germany,Tim Kleindienst,4,0,0,2024-11-16,2025-03-23
Australia,Martin Boyle,4,2,0,2024-01-23,2025-03-20
Sweden,Dejan Kulusevski,4,0,0,2022-06-02,2024-11-19
Uruguay,Federico Valverde,4,0,0,2022-03-29,2024-11-19
Japan,Hidemasa Morita,4,0,0,2024-02-03,2024-11-15
Portugal,Rafael Leão,4,0,0,2022-11-24,2024-11-15
Paraguay,Antonio Sanabria,4,0,0,2023-10-17,2024-11-14
England,Jude Bellingham,4,0,0,2022-11-21,2024-10-10
Uzbekistan,Oston Urunov,4,0,0,2023-11-21,2024-09-10
Spain,Fabián Ruiz,4,0,0,2024-06-15,2024-09-08
