team,scorer,goals,penalty_goals,own_goals,first_goal_date,last_goal_date
Qatar,Ibrahim Al-Hassan,2,0,0,2024-09-05,2024-10-10
Jordan,Noor Al-Rawabdeh,2,0,0,2024-06-11,2024-09-10
Korea Republic,Joo Min-kyu,2,0,0,2024-06-06,2024-09-10
Saudi Arabia,Hassan Kadesh,2,0,0,2024-09-10,2024-09-10
Uzbekistan,Husniddin Aliqulov,2,0,0,2024-06-06,2024-09-10
Argentina,Paulo Dybala,2,0,0,2022-06-01,2024-09-05
Japan,Daizen Maeda,2,0,0,2022-12-05,2024-09-05
Colombia,Jefferson Lerma,2,0,0,2024-06-24,2024-07-10
Colombia,Miguel Borja,2,1,0,2022-03-24,2024-07-06
Ecuador,Kevin Rodríguez,2,0,0,2023-10-12,2024-07-04
Colombia,Daniel Muñoz,2,0,0,2024-06-24,2024-07-02
Uruguay,Mathías Olivera,2,0,0,2023-10-12,2024-07-01
New Zealand,Max Mata,2,0,0,2024-06-21,2024-06-30
USA,Folarin Balogun,2,0,0,2024-06-23,2024-06-27
Uruguay,Maximiliano Araújo,2,0,0,2024-06-23,2024-06-27
Ecuador,Kendry Páez,2,1,0,2023-10-12,2024-06-26
Panama,Michael Amir Murillo,2,0,0,2023-06-30,2024-06-23
Iraq,Ali Jasim,2,0,0,2024-06-06,2024-06-11
South Africa,Thapelo Morena,2,0,0,2024-06-11,2024-06-11
Australia,Ajdin Hrustic,2,0,0,2022-06-07,2024-06-06
Uzbekistan,Sherzod Nasrullaev,2,0,0,2024-01-18,2024-06-06
IR Iran,Hossein Kanaanizadegan,2,0,0,2024-03-21,2024-03-21
Japan,Ao Tanaka,2,0,0,2022-12-01,2024-03-21
South Africa,Teboho Mokoena,2,1,0,2024-01-30,2024-02-07
Saudi Arabia,Abdullah Radif,2,0,0,2023-11-16,2024-01-30
South Africa,Percy Tau,2,1,0,2023-11-18,2024-01-21
Tunisia,Hamza Rafia,2,0,0,2023-11-17,2024-01-20
Morocco,Romain Saïss,2,0,0,2022-11-27,2024-01-17
Saudi Arabia,Abdulrahman Ghareeb,2,0,0,2023-11-16,2024-01-16
Iraq,Osama Rashid,2,0,0,2023-11-16,2024-01-15
Jordan,Mahmoud Al-Mardi,2,0,0,2024-01-15,2024-01-15
Cabo Verde,Garry Rodrigues,2,0,0,2022-01-17,2024-01-14
Colombia,Rafael Santos Borré,2,1,0,2023-09-07,2023-11-21
France,Youssouf Fofana,2,0,0,2023-11-18,2023-11-21
Qatar,Mostafa Meshaal,2,0,0,2023-11-16,2023-11-21
Qatar,Yusuf Abdurisag,2,0,0,2023-06-25,2023-11-21
France,Kingsley Coman,2,0,0,2023-11-18,2023-11-18
France,Marcus Thuram,2,0,0,2023-09-07,2023-11-18
Cote d'Ivoire,Hamed Traorè,2,0,0,2023-11-17,2023-11-17
Cote d'Ivoire,Karim Konaté,2,1,0,2023-11-17,2023-11-17
Algeria,Islam Slimani,2,0,0,2022-03-25,2023-11-16
Qatar,Tameem Al-Abdullah,2,0,0,2023-06-29,2023-11-16
Belgium,Dodi Lukebakio,2,0,0,2023-10-13,2023-10-13
Colombia,Mateus Uribe,2,0,0,2022-03-24,2023-10-12
Portugal,Gonçalo Inácio,2,0,0,2023-09-11,2023-09-11
Sweden,Robin Quaison,2,0,0,2022-03-24,2023-09-09
France,Aurélien Tchouaméni,2,0,0,2022-12-10,2023-09-07
Mexico,Santiago Giménez,2,0,0,2023-06-29,2023-07-16
Mexico,Orbelín Pineda,2,1,0,2023-06-25,2023-07-08
Panama,Yoel Bárcenas,2,0,0,2023-06-26,2023-07-08
Canada,Junior Hoilett,2,1,0,2022-03-27,2023-07-04
USA,Djordje Mihailovic,2,0,0,2023-06-28,2023-06-28
Mexico,Luis Romo,2,0,0,2023-06-25,2023-06-25
Scotland,Callum McGregor,2,0,0,2022-06-01,2023-06-20
Croatia,Mateo Kovačić,2,0,0,2023-03-28,2023-03-28
Netherlands,Nathan Aké,2,0,0,2023-03-27,2023-03-27
Portugal,Otávio,2,0,0,2022-03-24,2023-03-26
Bosnia and Herzegovina,Rade Krunić,2,0,0,2023-03-23,2023-03-23
Korea Republic,Kim Young-gwon,2,0,0,2022-03-24,2022-12-02
Brazil,Casemiro,2,0,0,2022-01-27,2022-11-28
Croatia,Marko Livaja,2,0,0,2022-09-25,2022-11-27
Morocco,Zakaria Aboukhlal,2,0,0,2022-01-14,2022-11-27
Senegal,Bamba Dieng,2,0,0,2022-01-25,2022-11-25
Senegal,Boulaye Dia,2,0,0,2022-03-29,2022-11-25
Senegal,Famara Diédhiou,2,0,0,2022-01-30,2022-11-25
Ghana,André Ayew,2,0,0,2022-01-14,2022-11-24
Spain,Carlos Soler,2,0,0,2022-06-12,2022-11-23
Netherlands,Davy Klaassen,2,0,0,2022-06-11,2022-11-21
Germany,Timo Werner,2,0,0,2022-06-14,2022-06-14
Spain,Pablo Sarabia,2,0,0,2022-06-09,2022-06-12
Germany,Jonas Hofmann,2,0,0,2022-06-07,2022-06-11
Bosnia and Herzegovina,Smail Prevljak,2,0,0,2022-06-04,2022-06-07
Turkiye,Doğukan Sinik,2,0,0,2022-06-07,2022-06-07
Turkiye,Halil Dervişoğlu,2,0,0,2022-06-04,2022-06-07
Morocco,Tarik Tissoudali,2,0,0,2022-03-25,2022-03-29
Brazil,Philippe Coutinho,2,1,0,2022-02-01,2022-03-24
New Zealand,Alex Greive,2,0,0,2022-03-24,2022-03-24
Japan,Junya Ito,2,0,0,2022-01-27,2022-02-01
Cote d'Ivoire,Nicolas Pépé,2,0,0,2022-01-16,2022-01-20
Congo DR,Axel Tuanzebe,1,0,0,2026-03-31,2026-03-31
Sweden,Gustaf Lagerbielke,1,0,0,2026-03-31,2026-03-31
Turkiye,Ferdi Kadıoğlu,1,0,0,2026-03-26,2026-03-26
Cote d'Ivoire,Guéla Doué,1,0,0,2026-01-10,2026-01-10
Egypt,Ramy Rabia,1,0,0,2026-01-10,2026-01-10
Algeria,Adil Boulbina,1,0,0,2026-01-06,2026-01-06
Egypt,Marwan Attia,1,0,0,2026-01-05,2026-01-05
Egypt,Yasser Ibrahim,1,0,0,2026-01-05,2026-01-05
Senegal,Ibrahim Mbaye,1,0,0,2026-01-03,2026-01-03
Algeria,Zineddine Belaïd,1,0,0,2025-12-31,2025-12-31
South Africa,Tshepang Moremi,1,0,0,2025-12-29,2025-12-29
Tunisia,Montassar Talbi,1,0,0,2025-12-27,2025-12-27
Tunisia,Ellyes Skhiri,1,0,0,2025-12-23,2025-12-23
Belgium,Alexis Saelemaekers,1,0,0,2025-11-18,2025-11-18
Belgium,Brandon Mechele,1,0,0,2025-11-18,2025-11-18
Scotland,Kieran Tierney,1,0,0,2025-11-18,2025-11-18
Sweden,Gustav Lundgren,1,0,0,2025-11-18,2025-11-18
Switzerland,Rubén Vargas,1,0,0,2025-11-18,2025-11-18
Turkiye,Deniz Gül,1,0,0,2025-11-18,2025-11-18
Turkiye,Salih Özcan,1,0,0,2025-11-18,2025-11-18
Czechia,Robin Hranáč,1,0,0,2025-11-17,2025-11-17
Czechia,Vladimír Coufal,1,0,0,2025-11-17,2025-11-17
Germany,Assan Ouédraogo,1,0,0,2025-11-17,2025-11-17
Germany,Ridle Baku,1,0,0,2025-11-17,2025-11-17
France,Maghnes Akliouche,1,0,0,2025-11-16,2025-11-16
Portugal,Renato Veiga,1,0,0,2025-11-16,2025-11-16
Bosnia and Herzegovina,Esmir Bajraktarević,1,0,0,2025-11-15,2025-11-15
Scotland,Ben Gannon-Doak,1,0,0,2025-11-15,2025-11-15
Sweden,Benjamin Nygren,1,0,0,2025-11-15,2025-11-15
Croatia,Petar Musa,1,0,0,2025-11-14,2025-11-14
Curacao,Ar'jany Martha,1,0,0,2025-11-13,2025-11-13
Curacao,Leandro Bacuna,1,1,0,2025-11-13,2025-11-13
Curacao,Roshon van Eijma,1,0,0,2025-11-13,2025-11-13
Curacao,Sontje Hansen,1,0,0,2025-11-13,2025-11-13
France,Hugo Ekitike,1,0,0,2025-11-13,2025-11-13
Congo DR,Theo Bongonda,1,0,0,2025-10-14,2025-10-14
Qatar,Boualem Khoukhi,1,0,0,2025-10-14,2025-10-14
Qatar,Pedro Miguel,1,0,0,2025-10-14,2025-10-14
South Africa,Thalente Mbatha,1,0,0,2025-10-14,2025-10-14
Cabo Verde,Stopira,1,0,0,2025-10-13,2025-10-13
Tunisia,Hannibal Mejbri,1,0,0,2025-10-13,2025-10-13
Croatia,Luka Sučić,1,0,0,2025-10-12,2025-10-12
Croatia,Martin Erlić,1,0,0,2025-10-12,2025-10-12
Croatia,Toni Fruk,1,0,0,2025-10-12,2025-10-12
Egypt,Mohamed Hamdy,1,0,0,2025-10-12,2025-10-12
Portugal,Rúben Neves,1,0,0,2025-10-11,2025-10-11
Spain,Yéremy Pino,1,0,0,2025-10-11,2025-10-11
Turkiye,Zeki Çelik,1,0,0,2025-10-11,2025-10-11
Congo DR,Cedric Bakambu,1,0,0,2025-10-10,2025-10-10
Cote d'Ivoire,Emmanuel Agbadou,1,0,0,2025-10-10,2025-10-10
Curacao,Livano Comenencia,1,0,0,2025-10-10,2025-10-10
France,Florian Thauvin,1,0,0,2025-10-10,2025-10-10
Germany,David Raum,1,0,0,2025-10-10,2025-10-10
Austria,Nikolaus Wurmbrand,1,0,0,2025-10-09,2025-10-09
Bosnia and Herzegovina,Nikola Katić,1,0,0,2025-10-09,2025-10-09
Scotland,Lewis Ferguson,1,0,0,2025-10-09,2025-10-09
Cabo Verde,Sidny Lopes Cabral,1,0,0,2025-10-08,2025-10-08
Cabo Verde,Telmo Arcanjo,1,0,0,2025-10-08,2025-10-08
Egypt,Ibrahim Adel,1,0,0,2025-10-08,2025-10-08
Ghana,Kamaldeen Sulemana,1,0,0,2025-10-08,2025-10-08
Saudi Arabia,Saleh Abu Al-Shamat,1,0,0,2025-10-08,2025-10-08
Colombia,Yerry Mina,1,0,0,2025-09-09,2025-09-09
Curacao,Tyrese Noslin,1,0,0,2025-09-09,2025-09-09
England,Ezri Konsa,1,0,0,2025-09-09,2025-09-09
England,Marc Guéhi,1,0,0,2025-09-09,2025-09-09
England,Noni Madueke,1,0,0,2025-09-09,2025-09-09
Panama,Carlos Harvey,1,0,0,2025-09-08,2025-09-08
Switzerland,Nico Elvedi,1,0,0,2025-09-08,2025-09-08
Belgium,Nicolas Raskin,1,0,0,2025-09-07,2025-09-07
Germany,Nadiem Amiri,1,0,0,2025-09-07,2025-09-07
Netherlands,Quinten Timber,1,0,0,2025-09-07,2025-09-07
Bosnia and Herzegovina,Benjamin Tahirović,1,0,0,2025-09-06,2025-09-06
Bosnia and Herzegovina,Kerim Alajbegović,1,0,0,2025-09-06,2025-09-06
Bosnia and Herzegovina,Nihad Mujakić,1,0,0,2025-09-06,2025-09-06
Bosnia and Herzegovina,Samed Baždar,1,0,0,2025-09-06,2025-09-06
Cote d'Ivoire,Vakoun Issouf Bayo,1,0,0,2025-09-05,2025-09-05
South Africa,Mohau Nkota,1,0,0,2025-09-05,2025-09-05
Belgium,Arthur Theate,1,0,0,2025-09-04,2025-09-04
Belgium,Malick Fofana,1,0,0,2025-09-04,2025-09-04
Brazil,Estêvão Willian,1,0,0,2025-09-04,2025-09-04
Cabo Verde,Jovane Cabral,1,0,0,2025-09-04,2025-09-04
Spain,Marc Cucurella,1,0,0,2025-09-04,2025-09-04
Uruguay,Federico Viñas,1,0,0,2025-09-04,2025-09-04
USA,Maximilian Arfsten,1,0,0,2025-06-29,2025-06-29
Canada,Niko Sigur,1,0,0,2025-06-17,2025-06-17
Canada,Promise David,1,0,0,2025-06-17,2025-06-17
Canada,Tani Oluwaseyi,1,0,0,2025-06-17,2025-06-17
USA,Brenden Aaronson,1,0,0,2025-06-15,2025-06-15
Australia,Connor Metcalfe,1,0,0,2025-06-10,2025-06-10
Australia,Mitch Duke,1,0,0,2025-06-10,2025-06-10
Curacao,Jearl Margaritha,1,0,0,2025-06-10,2025-06-10
Curacao,Kevin Felida,1,0,0,2025-06-10,2025-06-10
IR Iran,Amirhossein Hosseinzadeh,1,0,0,2025-06-10,2025-06-10
IR Iran,Mohammad Mehdi Mohebi,1,0,0,2025-06-10,2025-06-10
Iraq,Sajjad Jassim,1,0,0,2025-06-10,2025-06-10
Japan,Ryōya Morishita,1,0,0,2025-06-10,2025-06-10
Japan,Shūto Machino,1,0,0,2025-06-10,2025-06-10
Netherlands,Micky van de Ven,1,0,0,2025-06-10,2025-06-10
Portugal,Nuno Mendes,1,0,0,2025-06-08,2025-06-08
Spain,Martín Zubimendi,1,0,0,2025-06-08,2025-06-08
Haiti,Mondy Prunier,1,0,0,2025-06-07,2025-06-07
Australia,Aziz Behich,1,0,0,2025-06-05,2025-06-05
France,Rayan Cherki,1,0,0,2025-06-05,2025-06-05
Korea Republic,Kim Jin-gyu,1,0,0,2025-06-05,2025-06-05
Qatar,Ró-Ró,1,0,0,2025-06-05,2025-06-05
Algeria,Aïssa Mandi,1,0,0,2025-03-25,2025-03-25
Algeria,Jaouen Hadjam,1,0,0,2025-03-25,2025-03-25
Argentina,Giuliano Simeone,1,0,0,2025-03-25,2025-03-25
Brazil,Matheus Cunha,1,0,0,2025-03-25,2025-03-25
Congo DR,Charles Pickel,1,0,0,2025-03-25,2025-03-25
Czechia,Jan Kliment,1,0,0,2025-03-25,2025-03-25
Morocco,Nayef Aguerd,1,0,0,2025-03-25,2025-03-25
Norway,David Møller Wolfe,1,0,0,2025-03-25,2025-03-25
Norway,Kristoffer Ajer,1,0,0,2025-03-25,2025-03-25
Paraguay,Júnior Alonso,1,0,0,2025-03-25,2025-03-25
South Africa,Jayden Adams,1,0,0,2025-03-25,2025-03-25
Bosnia and Herzegovina,Haris Hajradinović,1,0,0,2025-03-24,2025-03-24
England,Reece James,1,0,0,2025-03-24,2025-03-24
New Zealand,Michael Boxall,1,0,0,2025-03-24,2025-03-24
Netherlands,Ian Maatsen,1,0,0,2025-03-23,2025-03-23
Norway,Julian Ryerson,1,0,0,2025-03-22,2025-03-22
Algeria,Amine Gouiri,1,0,0,2025-03-21,2025-03-21
Bosnia and Herzegovina,Armin Gigović,1,0,0,2025-03-21,2025-03-21
England,Myles Lewis-Skelly,1,0,0,2025-03-21,2025-03-21
Ghana,Antoine Semenyo,1,0,0,2025-03-21,2025-03-21
Morocco,Bilal El Khannouss,1,0,0,2025-03-21,2025-03-21
New Zealand,Tim Payne,1,0,0,2025-03-21,2025-03-21
Cabo Verde,Yannick Semedo,1,0,0,2025-03-20,2025-03-20
Germany,Leon Goretzka,1,0,0,2025-03-20,2025-03-20
Iraq,Akam Hashim,1,0,0,2025-03-20,2025-03-20
Jordan,Abdallah Nasib,1,0,0,2025-03-20,2025-03-20
Qatar,Ahmed Al Ganehi,1,0,0,2025-03-20,2025-03-20
Uzbekistan,Khojiakbar Alijonov,1,0,0,2025-03-20,2025-03-20
Brazil,Gerson,1,0,0,2024-11-19,2024-11-19
Germany,Felix Nmecha,1,0,0,2024-11-19,2024-11-19
IR Iran,Saleh Hardani,1,0,0,2024-11-19,2024-11-19
Japan,Ko Itakura,1,0,0,2024-11-19,2024-11-19
Netherlands,Brian Brobbey,1,0,0,2024-11-19,2024-11-19
New Zealand,Francis de Vries,1,0,0,2024-11-18,2024-11-18
New Zealand,Marko Stamenić,1,0,0,2024-11-18,2024-11-18
Scotland,Andy Robertson,1,0,0,2024-11-18,2024-11-18
Spain,Bryan Gil,1,0,0,2024-11-18,2024-11-18
Spain,Bryan Zaragoza,1,1,0,2024-11-18,2024-11-18
Switzerland,Andi Zeqiri,1,1,0,2024-11-18,2024-11-18
Switzerland,Joël Monteiro,1,0,0,2024-11-18,2024-11-18
England,Conor Gallagher,1,0,0,2024-11-17,2024-11-17
England,Jarrod Bowen,1,0,0,2024-11-17,2024-11-17
England,Taylor Harwood-Bellis,1,0,0,2024-11-17,2024-11-17
Colombia,Andrés Gómez,1,0,0,2024-11-15,2024-11-15
Portugal,Pedro Neto,1,0,0,2024-11-15,2024-11-15
Spain,Ayoze Pérez,1,0,0,2024-11-15,2024-11-15
Uruguay,Manuel Ugarte,1,0,0,2024-11-15,2024-11-15
England,Curtis Jones,1,0,0,2024-11-14,2024-11-14
Norway,Jens Petter Hauge,1,0,0,2024-11-14,2024-11-14
Brazil,Andreas Pereira,1,0,0,2024-10-15,2024-10-15
Colombia,Luis Sinisterra,1,0,0,2024-10-15,2024-10-15
Croatia,Martin Baturina,1,0,0,2024-10-15,2024-10-15
Croatia,Petar Sučić,1,0,0,2024-10-15,2024-10-15
Spain,Aymeric Laporte,1,0,0,2024-10-15,2024-10-15
Germany,Jamie Leweling,1,0,0,2024-10-14,2024-10-14
Croatia,Igor Matanović,1,0,0,2024-10-12,2024-10-12
Sweden,Ken Sema,1,0,0,2024-10-11,2024-10-11
Austria,Matthias Seidl,1,0,0,2024-10-10,2024-10-10
Brazil,Igor Jesus,1,0,0,2024-10-10,2024-10-10
France,Eduardo Camavinga,1,0,0,2024-10-10,2024-10-10
France,Mattéo Guendouzi,1,0,0,2024-10-10,2024-10-10
Colombia,Yerson Mosquera,1,0,0,2024-09-10,2024-09-10
Paraguay,Diego Gómez,1,0,0,2024-09-10,2024-09-10
Czechia,Lukáš Kalvach,1,0,0,2024-09-07,2024-09-07
Germany,Aleksandar Pavlović,1,0,0,2024-09-07,2024-09-07
Netherlands,Joshua Zirkzee,1,0,0,2024-09-07,2024-09-07
Japan,Junya Itō,1,0,0,2024-09-05,2024-09-05
Japan,Wataru Endo,1,0,0,2024-09-05,2024-09-05
Scotland,Billy Gilmour,1,0,0,2024-09-05,2024-09-05
Uzbekistan,Jaloliddin Masharipov,1,0,0,2024-09-05,2024-09-05
England,Cole Palmer,1,0,0,2024-07-14,2024-07-14
Canada,Ismaël Koné,1,0,0,2024-07-13,2024-07-13
Colombia,Richard Ríos,1,0,0,2024-07-06,2024-07-06
Netherlands,Stefan de Vrij,1,0,0,2024-07-06,2024-07-06
Turkiye,Samet Akaydin,1,0,0,2024-07-06,2024-07-06
Argentina,Lisandro Martínez,1,0,0,2024-07-04,2024-07-04
Paraguay,Ramón Sosa,1,0,0,2024-07-02,2024-07-02
New Zealand,Cameron Howieson,1,0,0,2024-06-30,2024-06-30
New Zealand,Jesse Randall,1,0,0,2024-06-30,2024-06-30
Spain,Rodri,1,0,0,2024-06-30,2024-06-30
Brazil,Sávio,1,0,0,2024-06-28,2024-06-28
New Zealand,Finn Surman,1,0,0,2024-06-27,2024-06-27
Uruguay,Facundo Pellistri,1,0,0,2024-06-27,2024-06-27
Uruguay,Matías Viña,1,0,0,2024-06-23,2024-06-23
Ecuador,Jeremy Sarmiento,1,0,0,2024-06-22,2024-06-22
Mexico,Gerardo Arteaga,1,0,0,2024-06-22,2024-06-22
Austria,Gernot Trauner,1,0,0,2024-06-21,2024-06-21
New Zealand,Ben Old,1,0,0,2024-06-21,2024-06-21
Czechia,Lukáš Provod,1,0,0,2024-06-18,2024-06-18
Spain,Dani Carvajal,1,0,0,2024-06-15,2024-06-15
Switzerland,Kwadwo Duah,1,0,0,2024-06-15,2024-06-15
Switzerland,Michel Aebischer,1,0,0,2024-06-15,2024-06-15
Germany,Emre Can,1,0,0,2024-06-14,2024-06-14
Australia,Adam Taggart,1,0,0,2024-06-11,2024-06-11
Australia,Nestory Irankunda,1,1,0,2024-06-11,2024-06-11
Iraq,Hussein Ali,1,0,0,2024-06-11,2024-06-11
Japan,Yuki Soma,1,1,0,2024-06-11,2024-06-11
Morocco,Chadi Riad,1,0,0,2024-06-11,2024-06-11
Morocco,Soufiane Rahimi,1,0,0,2024-06-11,2024-06-11
Qatar,Yousef Aymen,1,0,0,2024-06-11,2024-06-11
Saudi Arabia,Ali Lajami,1,0,0,2024-06-11,2024-06-11
South Africa,Iqraam Rayners,1,0,0,2024-06-11,2024-06-11
Algeria,Houssem Aouar,1,0,0,2024-06-10,2024-06-10
Algeria,Said Benrahma,1,0,0,2024-06-10,2024-06-10
Ghana,Abdul Fatawu,1,0,0,2024-06-10,2024-06-10
Haiti,Bryan Labissiere,1,0,0,2024-06-09,2024-06-09
Haiti,Duke Lacroix,1,0,0,2024-06-09,2024-06-09
Panama,Jovani Welch,1,0,0,2024-06-09,2024-06-09
Curacao,Xander Severina,1,0,0,2024-06-08,2024-06-08
Morocco,Eliesse Ben Seghir,1,0,0,2024-06-07,2024-06-07
Haiti,Jean-Kévin Duverne,1,0,0,2024-06-06,2024-06-06
Jordan,Ibrahim Sadeh,1,0,0,2024-06-06,2024-06-06
Australia,John Iredale,1,0,0,2024-03-26,2024-03-26
Iraq,Zaid Tahseen,1,0,0,2024-03-26,2024-03-26
Jordan,Mohammad Abu Zrayq,1,0,0,2024-03-26,2024-03-26
Jordan,Saed Al-Rosan,1,0,0,2024-03-26,2024-03-26
Korea Republic,Park Jin-seob,1,0,0,2024-03-26,2024-03-26
Australia,Keanu Baccus,1,0,0,2024-03-21,2024-03-21
Australia,Kye Rowles,1,0,0,2024-03-21,2024-03-21
IR Iran,Omid Noorafkan,1,0,0,2024-03-21,2024-03-21
Uzbekistan,Rustam Ashurmatov,1,0,0,2024-03-21,2024-03-21
Qatar,Jassem Gaber,1,0,0,2024-02-07,2024-02-07
Uzbekistan,Odiljon Hamrobekov,1,0,0,2024-02-03,2024-02-03
Congo DR,Arthur Masuaku,1,0,0,2024-02-02,2024-02-02
Iraq,Saad Natiq,1,0,0,2024-01-29,2024-01-29
Jordan,Nizar Al-Rashdan,1,0,0,2024-01-29,2024-01-29
Korea Republic,Jeong Woo-yeong,1,0,0,2024-01-25,2024-01-25
Iraq,Rebin Sulaka,1,0,0,2024-01-24,2024-01-24
Cabo Verde,Bryan Teixeira,1,0,0,2024-01-22,2024-01-22
Cabo Verde,Gilson Tavares,1,0,0,2024-01-22,2024-01-22
Congo DR,Silas Katompa Mvumpa,1,0,0,2024-01-21,2024-01-21
Saudi Arabia,Faisal Al-Ghamdi,1,0,0,2024-01-21,2024-01-21
Saudi Arabia,Mohamed Kanno,1,0,0,2024-01-21,2024-01-21
South Africa,Thapelo Maseko,1,0,0,2024-01-21,2024-01-21
Cabo Verde,Bebé,1,0,0,2024-01-19,2024-01-19
Cabo Verde,Kevin Pina,1,0,0,2024-01-19,2024-01-19
Japan,Wataru Endō,1,0,0,2024-01-19,2024-01-19
Saudi Arabia,Ali Al-Bulaihi,1,0,0,2024-01-16,2024-01-16
Korea Republic,Hwang In-beom,1,0,0,2024-01-15,2024-01-15
IR Iran,Karim Ansarifard,1,0,0,2024-01-14,2024-01-14
IR Iran,Shojae Khalilzadeh,1,0,0,2024-01-14,2024-01-14
Australia,Jordan Bos,1,0,0,2024-01-13,2024-01-13
Ecuador,Ángel Mena,1,0,0,2023-11-21,2023-11-21
Korea Republic,Jung Seung-hyun,1,0,0,2023-11-21,2023-11-21
Netherlands,Mats Wieffer,1,0,0,2023-11-21,2023-11-21
Turkiye,Yusuf Yazıcı,1,1,0,2023-11-21,2023-11-21
Cote d'Ivoire,Christian Kouamé,1,0,0,2023-11-20,2023-11-20
Algeria,Ramiz Zerrouki,1,0,0,2023-11-19,2023-11-19
Norway,Mohamed Elyounoussi,1,0,0,2023-11-19,2023-11-19
Spain,Robin Le Normand,1,0,0,2023-11-19,2023-11-19
France,Jonathan Clauss,1,0,0,2023-11-18,2023-11-18
France,Warren Zaïre-Emery,1,0,0,2023-11-18,2023-11-18
South Africa,Khuliso Mudau,1,0,0,2023-11-18,2023-11-18
Tunisia,Firas Ben Larbi,1,0,0,2023-11-17,2023-11-17
Tunisia,Yassine Meriah,1,0,0,2023-11-17,2023-11-17
Australia,Brandon Borrello,1,0,0,2023-11-16,2023-11-16
Bosnia and Herzegovina,Renato Gojković,1,0,0,2023-11-16,2023-11-16
Brazil,Gabriel Martinelli,1,0,0,2023-11-16,2023-11-16
Iraq,Bashar Resan,1,0,0,2023-11-16,2023-11-16
Korea Republic,Hwang Ui-jo,1,1,0,2023-11-16,2023-11-16
Uruguay,Ronald Araújo,1,0,0,2023-11-16,2023-11-16
Bosnia and Herzegovina,Amar Rahmanović,1,0,0,2023-10-13,2023-10-13
Bosnia and Herzegovina,Miroslav Stevanović,1,0,0,2023-10-13,2023-10-13
Netherlands,Quilindschy Hartman,1,0,0,2023-10-13,2023-10-13
Brazil,Gabriel Magalhães,1,0,0,2023-10-12,2023-10-12
Norway,Fredrik Aursnes,1,0,0,2023-10-12,2023-10-12
Spain,Oihan Sancet,1,0,0,2023-10-12,2023-10-12
Turkiye,Barış Alper Yılmaz,1,0,0,2023-10-12,2023-10-12
Argentina,Nicolás Tagliafico,1,0,0,2023-09-12,2023-09-12
Belgium,Jan Vertonghen,1,0,0,2023-09-12,2023-09-12
Brazil,Marquinhos,1,0,0,2023-09-12,2023-09-12
Sweden,Emil Holm,1,0,0,2023-09-12,2023-09-12
Switzerland,Cedric Itten,1,0,0,2023-09-12,2023-09-12
Uruguay,Agustín Canobbio,1,0,0,2023-09-12,2023-09-12
Belgium,Yannick Carrasco,1,0,0,2023-09-09,2023-09-09
England,Kyle Walker,1,0,0,2023-09-09,2023-09-09
Croatia,Luka Ivanušec,1,0,0,2023-09-08,2023-09-08
Scotland,Ryan Porteous,1,0,0,2023-09-08,2023-09-08
Turkiye,Bertuğ Yıldırım,1,0,0,2023-09-08,2023-09-08
Netherlands,Marten de Roon,1,0,0,2023-09-07,2023-09-07
Mexico,Roberto Alvarado,1,0,0,2023-07-12,2023-07-12
Panama,Iván Anderson,1,0,0,2023-07-12,2023-07-12
Canada,Steven Vitória,1,1,0,2023-07-09,2023-07-09
Mexico,Érick Sánchez,1,0,0,2023-07-08,2023-07-08
Canada,Jayden Nelson,1,0,0,2023-07-04,2023-07-04
Canada,Jonathan Osorio,1,0,0,2023-07-04,2023-07-04
Canada,Liam Millar,1,0,0,2023-07-04,2023-07-04
Qatar,Hazem Shehata,1,0,0,2023-07-02,2023-07-02
USA,Cade Cowell,1,0,0,2023-07-02,2023-07-02
USA,Gianluca Busio,1,0,0,2023-07-02,2023-07-02
USA,Bryan Reynolds,1,0,0,2023-06-28,2023-06-28
Canada,Lucas Cavallini,1,0,0,2023-06-27,2023-06-27
Belgium,Johan Bakayoko,1,0,0,2023-06-20,2023-06-20
Norway,Ola Solbakken,1,0,0,2023-06-20,2023-06-20
England,Kalvin Phillips,1,0,0,2023-06-19,2023-06-19
Turkiye,Umut Nayir,1,0,0,2023-06-19,2023-06-19
Netherlands,Georginio Wijnaldum,1,0,0,2023-06-18,2023-06-18
England,Callum Wilson,1,1,0,2023-06-16,2023-06-16
Austria,Florian Kainz,1,0,0,2023-03-27,2023-03-27
France,Benjamin Pavard,1,0,0,2023-03-27,2023-03-27
Sweden,Jesper Karlsson,1,0,0,2023-03-27,2023-03-27
Czechia,Tomáš Čvančara,1,0,0,2023-03-24,2023-03-24
France,Antoine Griezmann,1,0,0,2023-03-24,2023-03-24
France,Dayot Upamecano,1,0,0,2023-03-24,2023-03-24
Bosnia and Herzegovina,Amar Dedić,1,0,0,2023-03-23,2023-03-23
Croatia,Mislav Oršić,1,0,0,2022-12-17,2022-12-17
Morocco,Achraf Dari,1,0,0,2022-12-17,2022-12-17
France,Théo Hernandez,1,0,0,2022-12-14,2022-12-14
Argentina,Nahuel Molina,1,0,0,2022-12-09,2022-12-09
Portugal,Pepe,1,0,0,2022-12-06,2022-12-06
Portugal,Raphaël Guerreiro,1,0,0,2022-12-06,2022-12-06
Korea Republic,Paik Seung-ho,1,0,0,2022-12-05,2022-12-05
England,Jordan Henderson,1,0,0,2022-12-04,2022-12-04
Netherlands,Daley Blind,1,0,0,2022-12-03,2022-12-03
Australia,Mathew Leckie,1,0,0,2022-11-30,2022-11-30
