date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_team_norm,away_team_norm,home_points,away_points,home_goal_diff,away_goal_diff
1947-12-18,Bolivia,Paraguay,1,3,Copa América,Guayaquil,Ecuador,True,Bolivia,Paraguay,0,3,-2,2
1947-12-20,Colombia,Paraguay,0,2,Copa América,Guayaquil,Ecuador,True,Colombia,Paraguay,0,3,-2,2
1947-12-20,Ecuador,Peru,0,0,Copa América,Guayaquil,Ecuador,False,Ecuador,Peru,1,1,0,0
1947-12-23,Chile,Paraguay,0,1,Copa América,Guayaquil,Ecuador,True,Chile,Paraguay,0,3,-1,1
1947-12-23,Colombia,Peru,1,5,Copa América,Guayaquil,Ecuador,True,Colombia,Peru,0,3,-4,4
1947-12-25,Ecuador,Argentina,0,2,Copa América,Guayaquil,Ecuador,False,Ecuador,Argentina,0,3,-2,2
1947-12-25,Peru,Uruguay,0,1,Copa América,Guayaquil,Ecuador,True,Peru,Uruguay,0,3,-1,1
1947-12-28,Argentina,Uruguay,3,1,Copa América,Guayaquil,Ecuador,True,Argentina,Uruguay,3,0,2,-2
1947-12-29,Chile,Colombia,4,1,Copa América,Guayaquil,Ecuador,True,Chile,Colombia,3,0,3,-3
1947-12-29,Ecuador,Paraguay,0,4,Copa América,Guayaquil,Ecuador,False,Ecuador,Paraguay,0,3,-4,4
1948-03-04,Panama,Curaçao,1,3,CCCF Championship,Guatemala City,Guatemala,True,Panama,Curacao,0,3,-2,2
1948-03-05,Guatemala,Curaçao,2,2,CCCF Championship,Guatemala City,Guatemala,False,Guatemala,Curacao,1,1,0,0
1948-03-07,Costa Rica,Curaçao,2,1,CCCF Championship,Guatemala City,Guatemala,True,Costa Rica,Curacao,3,0,1,-1
1948-03-07,El Salvador,Panama,1,2,CCCF Championship,Guatemala City,Guatemala,True,El Salvador,Panama,0,3,-1,1
1948-03-09,El Salvador,Curaçao,1,0,CCCF Championship,Guatemala City,Guatemala,True,El Salvador,Curacao,3,0,1,-1
1948-03-09,Guatemala,Panama,4,3,CCCF Championship,Guatemala City,Guatemala,False,Guatemala,Panama,3,0,1,-1
1948-03-11,Costa Rica,Panama,3,1,CCCF Championship,Guatemala City,Guatemala,True,Costa Rica,Panama,3,0,2,-2
1948-03-11,Curaçao,El Salvador,0,2,CCCF Championship,Guatemala City,Guatemala,True,Curacao,El Salvador,0,3,-2,2
1948-03-14,Belgium,Netherlands,1,1,Friendly,Antwerp,Belgium,False,Belgium,Netherlands,1,1,0,0
1948-03-14,Curaçao,Panama,2,5,CCCF Championship,Guatemala City,Guatemala,True,Curacao,Panama,0,3,-3,3
1948-03-16,Panama,El Salvador,2,0,CCCF Championship,Guatemala City,Guatemala,True,Panama,El Salvador,3,0,2,-2
1948-03-18,Guatemala,Curaçao,2,2,CCCF Championship,Guatemala City,Guatemala,False,Guatemala,Curacao,1,1,0,0
1948-03-20,Curaçao,Costa Rica,4,1,CCCF Championship,Guatemala City,Guatemala,True,Curacao,Costa Rica,3,0,3,-3
1948-03-21,Guatemala,Panama,4,5,CCCF Championship,Guatemala City,Guatemala,False,Guatemala,Panama,0,3,-1,1
1948-03-21,Spain,Portugal,2,0,Friendly,Madrid,Spain,False,Spain,Portugal,3,0,2,-2
1948-04-04,France,Italy,1,3,Friendly,Colombes,France,False,France,Italy,0,3,-2,2
1948-04-04,Uruguay,Brazil,1,1,Copa Rio Branco,Montevideo,Uruguay,False,Uruguay,Brazil,1,1,0,0
1948-04-10,Scotland,England,0,2,British Home Championship,Glasgow,Scotland,False,Scotland,England,0,3,-2,2
1948-04-11,Uruguay,Brazil,4,2,Copa Rio Branco,Montevideo,Uruguay,False,Uruguay,Brazil,3,0,2,-2
1948-04-18,Austria,Switzerland,3,1,Friendly,Vienna,Austria,False,Austria,Switzerland,3,0,2,-2
1948-04-18,Netherlands,Belgium,2,2,Friendly,Rotterdam,Netherlands,False,Netherlands,Belgium,1,1,0,0
1948-04-21,Hungary,Switzerland,7,4,Central European International Cup,Budapest,Hungary,False,Hungary,Switzerland,3,0,3,-3
1948-04-23,Greece,Turkey,1,3,Friendly,Athens,Greece,False,Greece,Turkiye,0,3,-2,2
1948-04-28,Scotland,Belgium,2,0,Friendly,Glasgow,Scotland,False,Scotland,Belgium,3,0,2,-2
1948-05-02,Austria,Hungary,3,2,Central European International Cup,Vienna,Austria,False,Austria,Hungary,3,0,1,-1
1948-05-16,Italy,England,0,4,Friendly,Turin,Italy,False,Italy,England,0,3,-4,4
1948-05-17,Switzerland,Scotland,2,1,Friendly,Bern,Switzerland,False,Switzerland,Scotland,3,0,1,-1
1948-05-23,France,Scotland,3,0,Friendly,Colombes,France,False,France,Scotland,3,0,3,-3
1948-05-23,Portugal,Republic of Ireland,2,0,Friendly,Oeiras,Portugal,False,Portugal,Republic of Ireland,3,0,2,-2
1948-05-25,DR Congo,Zambia,2,3,Friendly,Brazzaville,Belgian Congo,False,Congo DR,Zambia,0,3,-1,1
1948-05-26,Norway,Netherlands,1,2,Friendly,Oslo,Norway,False,Norway,Netherlands,0,3,-1,1
1948-05-30,Spain,Republic of Ireland,2,1,Friendly,Barcelona,Spain,False,Spain,Republic of Ireland,3,0,1,-1
1948-05-30,Turkey,Austria,0,1,Friendly,Istanbul,Turkey,False,Turkiye,Austria,0,3,-1,1
1948-06-06,Belgium,France,4,2,Friendly,Brussels,Belgium,False,Belgium,France,3,0,2,-2
1948-06-09,Netherlands,Sweden,1,0,Friendly,Amsterdam,Netherlands,False,Netherlands,Sweden,3,0,1,-1
1948-06-12,Czechoslovakia,France,0,4,Friendly,Prague,Czechoslovakia,False,Czechoslovakia,France,0,3,-4,4
1948-06-12,Denmark,Norway,1,2,Nordic Championship,Copenhagen,Denmark,False,Denmark,Norway,0,3,-1,1
1948-06-20,Switzerland,Spain,3,3,Friendly,Zürich,Switzerland,False,Switzerland,Spain,1,1,0,0
1948-07-11,Sweden,Austria,3,2,Friendly,Solna,Sweden,False,Sweden,Austria,3,0,1,-1
1948-08-02,Sweden,Austria,3,0,Friendly,London,England,True,Sweden,Austria,3,0,3,-3
1948-08-06,Norway,United States,11,0,Friendly,Oslo,Norway,False,Norway,USA,3,0,11,-11
1948-08-11,Northern Ireland,United States,5,0,Friendly,Belfast,Northern Ireland,False,Northern Ireland,USA,3,0,5,-5
1948-08-14,New Zealand,Australia,0,6,Soccer Ashes,Wellington,New Zealand,False,New Zealand,Australia,0,3,-6,6
1948-08-28,New Zealand,Australia,0,7,Soccer Ashes,Christchurch,New Zealand,False,New Zealand,Australia,0,3,-7,7
1948-09-04,New Zealand,Australia,0,4,Soccer Ashes,Wellington,New Zealand,False,New Zealand,Australia,0,3,-4,4
1948-09-05,Norway,Finland,2,0,Nordic Championship,Oslo,Norway,False,Norway,Finland,3,0,2,-2
1948-09-11,New Zealand,Australia,1,8,Friendly,Auckland,New Zealand,False,New Zealand,Australia,0,3,-7,7
1948-09-19,Finland,Sweden,2,2,Nordic Championship,Helsinki,Finland,False,Finland,Sweden,1,1,0,0
