team,group,confederation,host,model_strength_score,model_strength_z,data_confidence_0_1,rank_strength_0_100,form_strength_0_100,opponent_adjusted_form_0_100,opponent_quality_index_0_100,fifa_rank_april_2026,matches_counted,points_per_match,goal_diff_per_match,goals_for_per_match,goals_against_per_match,attack_balance,defensive_stability,attack_efficiency_proxy,defense_resilience_proxy,squad_depth_proxy,squad_completeness_0_1,fitness_availability_0_1,fitness_risk_score_0_100,source_reliability_0_1,injury_severity_total,recent_goal_scorers,recent_scorer_goals_total,scorer_concentration_top5,video_source_rows,relevant_video_score,power_rating,form_index,attack,midfield,defense,depth,tactical_style,last_match_date,wins,draws,losses,points,goals_for,goals_against,goal_difference,weighted_form_0_100,avg_recent_opponent_rank,recent_clean_sheet_rate,recent_failed_to_score_rate,competitive_match_share,recent_home_match_share,recent_neutral_match_share,recent_upset_score,recent_cross_confed_share,squad_rows,squad_rating_mean,squad_rating_weighted_minutes,attack_player_rating,midfield_player_rating,defense_player_rating,expected_minutes_total,avg_injury_risk,fitness_flag_count,projected_player_xg,active_injury_count,top_scorer_goals,top5_scorer_goals,penalty_goal_share,training_video_count,highlight_video_count,press_video_count,confederation_strength_factor
Paraguay,D,CONMEBOL,0,51.6180201925353,-0.5314473160422,0.5449999999999999,53.57142857142857,53.45,44.583,84.45278378492982,40,12,1.5,0.3333333333333333,1.3333333333333333,1.0,-2.5,82.78947368421052,26.266666666666666,58.19689102817012,38.5,0.0,0.0,20.0,0.8499999999999999,0.0,9,19,0.789,0.0,0.0,76,70,73,74,77,70,defensive transitions,2026-06-05,5,3,4,18,16,12,4,53.45,30.5,0.417,0.25,0.5,0.25,0.167,71.1,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,15,0.053,0.0,0.0,0.0,0.97
Panama,L,Concacaf,0,50.49559848628318,-0.6160159491186833,0.6,61.904761904761905,53.34,35.278,19.963533053470716,33,12,1.667,0.25,1.6666666666666667,1.4166666666666667,0.0,73.15789473684211,41.70833333333334,30.719797995738972,36.300000000000004,0.0,0.0,20.0,0.8499999999999999,0.0,20,52,0.538,0.0,0.0,72,69,70,70,70,66,organized pressing,2026-06-06,5,5,2,20,20,17,3,53.34,60.917,0.167,0.083,0.417,0.5,0.083,0.0,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,28,0.077,0.0,0.0,0.0,0.78
Iraq,I,AFC,0,49.430712935757,-0.6962495323514979,0.585,33.333333333333336,63.36,42.417,15.901284823813766,57,12,2.0,0.4166666666666667,1.0833333333333333,0.6666666666666666,-1.5,77.89473684210526,27.368939393939392,64.1653120808017,35.75,0.0,0.0,20.0,0.8499999999999999,0.0,17,44,0.636,0.0,0.0,70,67,68,69,70,65,compact directness,2026-06-04,7,3,2,24,13,8,5,63.36,62.833,0.417,0.25,0.833,0.333,0.583,19.25,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,28,0.091,0.0,0.0,0.0,0.76
Sweden,F,UEFA,0,48.16803787878788,-0.7913855253502503,0.575,55.952380952380956,40.07,28.917,25.97209854556248,38,12,1.25,-0.3333333333333333,1.5833333333333333,1.9166666666666667,-2.5,78.0,40.473484848484844,15.600000000000001,40.150000000000006,0.0,0.0,20.0,0.8499999999999999,0.0,15,50,0.7,0.0,0.0,78,71,75,77,78,73,structured directness,2026-06-04,4,3,5,15,19,23,-4,40.07,58.083,0.083,0.25,0.667,0.5,0.083,10.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,35,0.06,0.0,0.0,0.0,1.0
Uzbekistan,K,AFC,0,46.86175692213701,-0.8898069959102562,0.565,41.666666666666664,40.42,36.833,51.06008565492092,50,12,1.417,0.4166666666666667,1.3333333333333333,0.9166666666666666,0.5,75.3157894736842,29.9280303030303,64.03869644125307,35.75,0.0,0.0,20.0,0.8499999999999999,0.0,13,34,0.618,0.0,0.0,71,68,70,70,69,65,compact pressing,2026-06-08,4,5,3,17,16,11,5,40.42,46.25,0.5,0.333,0.583,0.583,0.417,41.3,0.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,21,0.029,0.0,0.0,0.0,0.76
Bosnia and Herzegovina,B,UEFA,0,45.221544625773234,-1.0133884547203258,0.595,23.809523809523814,46.02,32.583,15.54721621507017,65,12,1.5,0.8333333333333334,1.8333333333333333,1.0,1.5,75.78947368421052,41.18030303030303,45.53002446145348,36.300000000000004,0.0,0.0,20.0,0.8499999999999999,0.0,19,37,0.622,0.0,0.0,72,66,72,71,70,66,mid-block possession,2026-06-06,4,6,2,18,22,12,10,46.02,63.0,0.25,0.083,0.667,0.417,0.083,25.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,23,0.027,0.0,0.0,0.0,1.0
South Africa,A,CAF,0,44.63281317355676,-1.057746305148333,0.5700000000000001,29.761904761904766,50.63,32.833,13.07297629648475,60,12,1.583,0.4166666666666667,1.3333333333333333,0.9166666666666666,-1.5,76.3157894736842,27.53939393939394,52.97182987453642,36.300000000000004,0.0,0.0,20.0,0.8499999999999999,0.0,14,27,0.593,0.0,0.0,70,68,68,69,70,66,compact transitions,2026-06-06,5,4,3,19,16,11,5,50.63,64.167,0.333,0.25,0.583,0.75,0.417,9.45,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,16,0.111,0.0,0.0,0.0,0.82
Tunisia,F,CAF,0,44.21116400376367,-1.0895153753013884,0.5900000000000001,48.80952380952381,34.86,27.75,33.038629521265314,44,12,1.167,-0.16666666666666666,1.1666666666666667,1.3333333333333333,-2.5,75.6842105263158,26.96287878787879,38.5616034088219,36.85,0.0,0.0,20.0,0.8499999999999999,0.0,18,36,0.444,0.0,0.0,72,68,69,71,72,67,compact low block,2026-06-06,3,5,4,14,14,16,-2,34.86,54.75,0.25,0.333,0.583,0.167,0.667,18.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,16,0.194,0.0,0.0,0.0,0.82
Cabo Verde,H,CAF,0,43.50412948992012,-1.1427867456255598,0.5800000000000001,19.047619047619047,48.02,36.111,7.772548021880166,69,12,1.667,0.5833333333333334,1.6666666666666667,1.0833333333333333,1.0,71.26315789473684,33.7219696969697,59.75448591493728,34.650000000000006,0.0,0.0,20.0,0.8499999999999999,0.0,16,26,0.538,0.0,0.0,68,67,67,66,66,63,organized transitions,2026-06-06,5,5,2,20,20,13,7,48.02,66.667,0.5,0.167,0.667,0.417,0.5,30.8,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,14,0.038,0.0,0.0,0.0,0.82
Saudi Arabia,H,AFC,0,42.55899741684181,-1.2139975276798955,0.565,28.57142857142857,40.7,30.583,40.10516049696815,61,12,1.333,-0.16666666666666666,1.0833333333333333,1.25,-0.5,75.21052631578948,25.412121212121214,40.2037086719798,37.400000000000006,0.0,0.0,20.0,0.8499999999999999,0.0,13,35,0.686,0.0,0.0,73,68,71,72,71,68,patient possession,2026-06-05,5,1,6,16,13,15,-2,40.7,51.417,0.25,0.417,0.5,0.5,0.583,28.4,0.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,24,0.114,0.0,0.0,0.0,0.76
Jordan,J,AFC,0,41.756986332312316,-1.2744248882281175,0.5549999999999999,26.190476190476186,39.41,34.833,42.049357588093116,63,12,1.417,0.0,1.75,1.75,0.5,69.05263157894737,40.134090909090915,28.551077093032433,34.650000000000006,0.0,0.0,20.0,0.8499999999999999,0.0,11,42,0.833,0.0,0.0,69,66,68,67,68,63,deep counterattack,2026-06-07,5,2,5,17,21,21,0,39.41,50.5,0.25,0.083,0.5,0.417,0.833,42.0,0.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,35,0.119,0.0,0.0,0.0,0.76
Ghana,L,CAF,0,40.50025974452965,-1.369112695036961,0.565,13.095238095238093,30.03,23.333,40.10516049696815,74,12,1.167,0.0,1.3333333333333333,1.3333333333333333,1.5,77.6842105263158,31.980303030303034,44.56130355874694,39.050000000000004,0.0,0.0,20.0,0.8499999999999999,0.0,13,37,0.703,0.0,0.0,77,70,76,75,74,71,vertical transitions,2026-06-02,4,2,6,14,16,16,0,30.03,51.417,0.333,0.25,0.583,0.167,0.25,0.0,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,26,0.108,0.0,0.0,0.0,0.82
Curacao,E,Concacaf,0,38.26780009684152,-1.53731690897167,0.5800000000000001,3.57142857142857,43.44,27.917,12.19098503159055,82,12,1.333,0.3333333333333333,1.75,1.4166666666666667,1.5,66.15789473684211,35.84090909090909,46.186364712380644,33.550000000000004,0.0,0.0,20.0,0.8499999999999999,0.0,16,29,0.552,0.0,0.0,66,65,65,64,63,61,compact counterattack,2026-06-06,4,4,4,16,21,17,4,43.44,64.583,0.417,0.25,0.833,0.417,0.25,53.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,16,0.103,0.0,0.0,0.0,0.78
Haiti,C,Concacaf,0,37.75622314309352,-1.5758615695488076,0.55,2.3809523809523836,45.62,26.25,4.240342619683668,83,12,1.333,0.3333333333333333,1.4166666666666667,1.0833333333333333,1.5,67.26315789473684,28.1219696969697,53.35478576501223,33.0,0.0,0.0,20.0,0.8499999999999999,0.0,10,26,0.769,0.0,0.0,65,64,64,63,62,60,direct counterattack,2026-06-05,4,4,4,16,17,13,4,45.62,68.333,0.417,0.25,0.667,0.583,0.667,35.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,20,0.038,0.0,0.0,0.0,0.78
Qatar,B,AFC,0,37.10918612583661,-1.6246124408073603,0.5900000000000001,35.71428571428571,20.83,13.333,0.0,55,12,0.667,-0.9166666666666666,0.75,1.6666666666666667,0.5,68.57894736842105,23.259090909090908,24.593482206265286,35.75,0.0,0.0,20.0,0.8499999999999999,0.0,18,53,0.66,0.0,0.0,69,65,68,68,67,65,compact possession,2026-06-06,1,5,6,8,9,20,-11,20.83,70.333,0.167,0.5,0.5,0.833,0.083,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,0.151,0.0,0.0,0.0,0.76
New Zealand,G,OFC,0,30.47600023923445,-2.1243884699481956,0.62,0.0,17.99,16.306,53.35623118347963,85,12,0.583,-0.9166666666666666,0.75,1.6666666666666667,-1.0,67.57894736842105,24.44772727272727,18.72631578947368,33.550000000000004,0.0,0.0,20.0,0.8499999999999999,0.0,24,60,0.583,0.0,0.0,66,64,64,64,66,61,set-piece directness,2026-06-06,2,1,9,7,9,20,-11,17.99,45.167,0.083,0.5,0.5,0.333,0.5,79.9,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,0.05,0.0,0.0,0.0,0.62
