team,group,confederation,host,model_strength_score,model_strength_z,data_confidence_0_1,rank_strength_0_100,form_strength_0_100,opponent_adjusted_form_0_100,opponent_quality_index_0_100,fifa_rank_april_2026,matches_counted,points_per_match,goal_diff_per_match,goals_for_per_match,goals_against_per_match,attack_balance,defensive_stability,attack_efficiency_proxy,defense_resilience_proxy,squad_depth_proxy,squad_completeness_0_1,fitness_availability_0_1,fitness_risk_score_0_100,source_reliability_0_1,injury_severity_total,recent_goal_scorers,recent_scorer_goals_total,scorer_concentration_top5,video_source_rows,relevant_video_score,power_rating,form_index,attack,midfield,defense,depth,tactical_style,last_match_date,wins,draws,losses,points,goals_for,goals_against,goal_difference,weighted_form_0_100,avg_recent_opponent_rank,recent_clean_sheet_rate,recent_failed_to_score_rate,competitive_match_share,recent_home_match_share,recent_neutral_match_share,recent_upset_score,recent_cross_confed_share,squad_rows,squad_rating_mean,squad_rating_weighted_minutes,attack_player_rating,midfield_player_rating,defense_player_rating,expected_minutes_total,avg_injury_risk,fitness_flag_count,projected_player_xg,active_injury_count,top_scorer_goals,top5_scorer_goals,penalty_goal_share,training_video_count,highlight_video_count,press_video_count,confederation_strength_factor
Japan,F,AFC,0,70.56684358876414,0.8962478934326685,0.6326923076923077,79.76190476190477,78.34,57.444,58.834753848110935,18,12,2.0,1.0,1.5833333333333333,0.5833333333333334,1.0,88.42105263157895,47.83939393939394,84.87398406060127,64.16923076923078,0.038461538461538464,1.0,10.937500000000002,0.8499999999999999,0.0,25,71,0.493,0.0,0.0,83,78,82,82,80,78,technical pressing,2026-05-31,7,3,2,24,19,7,12,78.34,42.583,0.667,0.333,0.583,0.583,0.083,27.05,0.75,1.0,82.0,82.0,0.0,82.0,0.0,245.0,0.07,0.0,0.6,0.0,12,35,0.056,0.0,0.0,0.0,0.76
Croatia,L,UEFA,0,68.62637936318923,0.7500440146439717,0.62,88.09523809523809,70.67,55.611,36.9249035322054,11,12,2.333,1.6666666666666667,2.5833333333333335,0.9166666666666666,-3.5,86.3157894736842,66.67121212121214,60.63899629132802,42.35,0.0,0.0,20.0,0.8499999999999999,0.0,24,69,0.536,0.0,0.0,83,76,79,85,80,77,midfield control,2026-06-07,9,1,2,28,31,11,20,70.67,52.917,0.417,0.167,0.667,0.5,0.25,0.0,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,37,0.101,0.0,0.0,0.0,1.0
Austria,J,UEFA,0,67.37247542293447,0.6555688796337599,0.5700000000000001,72.61904761904762,81.15,54.611,8.12661663062375,24,12,2.333,1.8333333333333333,2.4166666666666665,0.5833333333333334,-1.5,87.42105263157895,62.28560606060606,73.40711749388463,40.7,0.0,0.0,20.0,0.8499999999999999,0.0,14,66,0.773,0.0,0.0,80,76,78,80,79,74,aggressive pressing,2026-06-01,9,1,2,28,29,7,22,81.15,66.5,0.5,0.167,0.75,0.583,0.0,0.0,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,51,0.106,0.0,0.0,0.0,1.0
Mexico,A,Concacaf,1,66.37296284570266,0.5802608096557719,0.5726923076923077,83.33333333333334,71.4,51.083,66.78539626001782,15,12,1.833,0.6666666666666666,1.4166666666666667,0.75,-1.5,84.36842105263158,31.65833333333334,74.92260711749388,60.96923076923077,0.038461538461538464,1.0,15.625,0.8499999999999999,0.0,13,30,0.6,0.0,0.0,79,71,76,78,77,74,front-foot possession,2026-06-04,6,4,2,22,17,9,8,71.4,38.833,0.583,0.25,0.0,0.833,0.333,5.6,0.75,1.0,78.0,78.0,78.0,0.0,0.0,235.0,0.1,0.0,0.9,0.0,5,18,0.1,0.0,0.0,0.0,0.78
Turkiye,D,UEFA,0,66.06021133942599,0.5566966116087252,0.645,75.0,83.99,53.611,36.9249035322054,22,12,2.333,1.0,2.25,1.25,3.5,81.21052631578948,61.45681818181818,47.003408821904834,41.800000000000004,0.0,0.0,20.0,0.8499999999999999,0.0,29,72,0.431,0.0,0.0,81,76,82,80,77,76,high-tempo possession,2026-06-06,9,1,2,28,27,15,12,83.99,52.917,0.333,0.167,0.667,0.417,0.167,13.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,31,0.111,0.0,0.0,0.0,1.0
Switzerland,B,UEFA,0,65.8834039715788,0.5433750967686254,0.6,78.57142857142857,60.79,61.306,54.0643684009668,19,12,2.083,1.6666666666666667,2.5,0.8333333333333334,-2.5,88.84210526315789,62.44772727272728,68.48080170441095,42.900000000000006,0.0,0.0,20.0,0.8499999999999999,0.0,20,60,0.55,0.0,0.0,82,75,79,81,82,78,balanced pressing,2026-06-06,7,4,1,25,30,10,20,60.79,44.833,0.5,0.167,0.5,0.417,0.167,7.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,33,0.083,0.0,0.0,0.0,1.0
Colombia,K,CONMEBOL,0,65.26065086153096,0.49645389151438135,0.585,85.71428571428572,67.62,52.833,54.594411228427255,13,12,2.0,1.25,2.1666666666666665,0.9166666666666666,1.0,86.3157894736842,51.83560606060607,66.23869644125307,42.35,0.0,0.0,20.0,0.8499999999999999,0.0,17,44,0.568,0.0,0.0,83,78,82,82,80,77,expressive possession,2026-06-07,7,3,2,24,26,11,15,67.62,44.583,0.5,0.167,0.333,0.583,0.583,3.5,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,25,0.136,0.0,0.0,0.0,0.97
Norway,I,UEFA,0,64.95005990545397,0.4730524796786685,0.575,64.28571428571428,66.91,51.361,28.62231268286478,31,12,2.25,2.25,2.9166666666666665,0.6666666666666666,5.0,85.89473684210526,74.9060606060606,65.76531208080169,41.25,0.0,0.0,20.0,0.8499999999999999,0.0,15,71,0.817,0.0,0.0,82,77,84,80,78,75,direct attacking,2026-06-07,8,3,1,27,35,8,27,66.91,56.833,0.417,0.083,0.5,0.667,0.083,12.25,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,58,0.07,0.0,0.0,0.0,1.0
Senegal,I,CAF,0,64.58327964940976,0.4454174965699812,0.5900000000000001,84.52380952380952,66.95,46.306,37.80901496840945,14,12,2.083,1.3333333333333333,2.25,0.9166666666666666,-1.0,88.3157894736842,56.79545454545455,66.63869644125306,41.800000000000004,0.0,0.0,20.0,0.8499999999999999,0.0,18,57,0.526,0.0,0.0,82,76,80,80,82,76,physical transition,2026-05-31,8,1,3,25,27,11,16,66.95,52.5,0.5,0.167,0.583,0.5,0.75,0.0,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,30,0.088,0.0,0.0,0.0,0.82
Cote d'Ivoire,E,CAF,0,64.38038320516776,0.4301303056237909,0.595,60.71428571428572,79.93,59.667,28.268244074121185,34,12,2.333,1.75,2.4166666666666665,0.6666666666666666,2.5,84.89473684210526,57.57196969696969,76.76471238065177,40.7,0.0,0.0,20.0,0.8499999999999999,0.0,19,48,0.438,0.0,0.0,80,74,80,78,77,74,power transitions,2026-06-04,9,1,2,28,29,8,21,79.93,57.0,0.583,0.083,0.583,0.5,0.667,42.0,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,21,0.104,0.0,0.0,0.0,0.82
Algeria,J,CAF,0,62.9585238764589,0.3230006063439508,0.585,67.85714285714286,74.45,56.194,20.671670270957897,28,12,2.25,1.5833333333333333,2.0,0.4166666666666667,3.0,83.47368421052632,45.429545454545455,87.35819458691707,39.050000000000004,0.0,0.0,20.0,0.8499999999999999,0.0,17,36,0.611,0.0,0.0,78,72,78,76,74,71,technical transitions,2026-06-03,8,3,1,27,24,5,19,74.45,60.583,0.667,0.25,0.75,0.75,0.917,24.85,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,22,0.083,0.0,0.0,0.0,0.82
Korea Republic,A,AFC,0,62.08252028794215,0.2569982957700364,0.595,71.42857142857143,67.81,52.75,49.11588856379595,25,12,2.083,0.75,1.75,1.0,1.5,80.78947368421052,46.763636363636365,74.66345774481181,40.150000000000006,0.0,0.0,20.0,0.8499999999999999,0.0,19,59,0.644,0.0,0.0,78,73,77,76,75,73,fast vertical attacks,2026-06-03,8,1,3,25,21,12,9,67.81,47.167,0.667,0.25,0.167,0.583,0.333,12.5,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,38,0.102,0.0,0.0,0.0,0.76
