source_name,platform,team_or_scope,video_id,title,published,updated,author,url,embed_url,thumbnail_url,matched_keywords,relevance_score,is_mens_world_cup_relevant,exclusion_reason,rights_posture,analysis_allowed_v1,download_allowed,retrieved_on
Canada Soccer,YouTube,Canada,zqvdM4u7dos,"""We Can Build A Generation"" | Ismaël Koné | Summer of Red",2026-06-06T21:00:30+00:00,2026-06-09T10:02:04+00:00,Canada Soccer,https://www.youtube.com/watch?v=zqvdM4u7dos,https://www.youtube.com/embed/zqvdM4u7dos,https://i3.ytimg.com/vi/zqvdM4u7dos/hqdefault.jpg,world cup|fifa,2,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10
Canada Soccer,YouTube,Canada,CkDdOBq4llg,"""A Team That Represents What Canada Is!"" Jonathan Osorio | Summer of Red",2026-06-05T18:06:42+00:00,2026-06-06T07:13:40+00:00,Canada Soccer,https://www.youtube.com/watch?v=CkDdOBq4llg,https://www.youtube.com/embed/CkDdOBq4llg,https://i4.ytimg.com/vi/CkDdOBq4llg/hqdefault.jpg,world cup|fifa,2,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10
Canada Soccer,YouTube,Canada,2s659_rjOC0,Derek Cornelius | Summer of Red,2026-06-05T01:25:42+00:00,2026-06-05T09:03:27+00:00,Canada Soccer,https://www.youtube.com/watch?v=2s659_rjOC0,https://www.youtube.com/embed/2s659_rjOC0,https://i3.ytimg.com/vi/2s659_rjOC0/hqdefault.jpg,world cup|fifa,2,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10
Canada Soccer,YouTube,Canada,HSdFixivctA,'I Was Told I Wasn't Good Enough for Division One Soccer' | Tajon Buchanan | Summer of RED,2026-06-04T15:00:09+00:00,2026-06-05T09:14:42+00:00,Canada Soccer,https://www.youtube.com/watch?v=HSdFixivctA,https://www.youtube.com/embed/HSdFixivctA,https://i1.ytimg.com/vi/HSdFixivctA/hqdefault.jpg,world cup|fifa,2,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10
Canada Soccer,YouTube,Canada,Z6cTXqvSTqU,FIFA World Cup 2026 Roster Reveal | OUR GAME NOW,2026-05-29T23:48:43+00:00,2026-06-01T03:49:53+00:00,Canada Soccer,https://www.youtube.com/watch?v=Z6cTXqvSTqU,https://www.youtube.com/embed/Z6cTXqvSTqU,https://i3.ytimg.com/vi/Z6cTXqvSTqU/hqdefault.jpg,world cup|fifa,2,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10
beIN SPORTS,YouTube,Media,q2l8qgWPqoA,تواجد عربي تاريخي في كأس العالم FIFA 2026™,2026-06-09T12:27:49+00:00,2026-06-09T12:27:50+00:00,beIN SPORTS,https://www.youtube.com/watch?v=q2l8qgWPqoA,https://www.youtube.com/embed/q2l8qgWPqoA,https://i2.ytimg.com/vi/q2l8qgWPqoA/hqdefault.jpg,fifa,1,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10
beIN SPORTS,YouTube,Media,Ckj_3E5Lx8M,ملخص مباراة إسبانيا وبيرو - مباراة دولية ودية,2026-06-09T10:54:37+00:00,2026-06-09T13:46:51+00:00,beIN SPORTS,https://www.youtube.com/watch?v=Ckj_3E5Lx8M,https://www.youtube.com/embed/Ckj_3E5Lx8M,https://i4.ytimg.com/vi/Ckj_3E5Lx8M/hqdefault.jpg,fifa,1,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10
beIN SPORTS,YouTube,Media,a9iJCsL55rk,لقاء خاص قريباً مع الأمير الحسين بن عبدالله الثاني، ولي عهد الأردن,2026-06-09T00:28:39+00:00,2026-06-09T07:02:29+00:00,beIN SPORTS,https://www.youtube.com/shorts/a9iJCsL55rk,https://www.youtube.com/embed/a9iJCsL55rk,https://i2.ytimg.com/vi/a9iJCsL55rk/hqdefault.jpg,fifa,1,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10
beIN SPORTS,YouTube,Media,TW1UPKcWmJM,12 هدفًا في كأس العالم حتى الآن... فهل ينجح كيليان مبابي في تحطيم الرقم القياسي؟ 👀🏆,2026-06-08T23:02:34+00:00,2026-06-09T07:07:48+00:00,beIN SPORTS,https://www.youtube.com/shorts/TW1UPKcWmJM,https://www.youtube.com/embed/TW1UPKcWmJM,https://i1.ytimg.com/vi/TW1UPKcWmJM/hqdefault.jpg,fifa,1,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10
beIN SPORTS,YouTube,Media,-N2y7ZVnXGI,بيدري يستعد لخوض كأس العالم كأحد أبرز نجوم خط الوسط في إسبانيا,2026-06-08T23:01:14+00:00,2026-06-09T07:32:18+00:00,beIN SPORTS,https://www.youtube.com/shorts/-N2y7ZVnXGI,https://www.youtube.com/embed/-N2y7ZVnXGI,https://i2.ytimg.com/vi/-N2y7ZVnXGI/hqdefault.jpg,fifa,1,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10
beIN SPORTS,YouTube,Media,i-SMlMCFt7Y,🇲🇽 الجميع سعيد برؤية غييرمو أوتشوا في كأس العالم للمرة السادسة على أرضه,2026-06-08T22:56:54+00:00,2026-06-09T06:43:29+00:00,beIN SPORTS,https://www.youtube.com/shorts/i-SMlMCFt7Y,https://www.youtube.com/embed/i-SMlMCFt7Y,https://i2.ytimg.com/vi/i-SMlMCFt7Y/hqdefault.jpg,fifa,1,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10
beIN SPORTS,YouTube,Media,7EZn8iBGkfI,✨⚽ مهارات لا تُنسى من رونالدينيو، زيدان، موسيالا وغيرهم... أي لقطة كانت الأفضل؟ 👀🔥,2026-06-08T22:55:21+00:00,2026-06-09T06:31:22+00:00,beIN SPORTS,https://www.youtube.com/shorts/7EZn8iBGkfI,https://www.youtube.com/embed/7EZn8iBGkfI,https://i4.ytimg.com/vi/7EZn8iBGkfI/hqdefault.jpg,fifa,1,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10
beIN SPORTS,YouTube,Media,TjUsCiPhRVM,الحلقة الثالثة | الكلمة الأخيرة | صابر الغراوي: منتخب مصر يمتلك فرصة تاريخية لتخطي دور المجموعات,2026-06-08T17:10:50+00:00,2026-06-09T07:11:51+00:00,beIN SPORTS,https://www.youtube.com/watch?v=TjUsCiPhRVM,https://www.youtube.com/embed/TjUsCiPhRVM,https://i1.ytimg.com/vi/TjUsCiPhRVM/hqdefault.jpg,fifa,1,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10
England,YouTube,England,SDZqIHQtZfM,These Three Lions have game... 🏀👀 | Extra Edge Challenge,2026-06-08T15:28:41+00:00,2026-06-09T06:26:42+00:00,England,https://www.youtube.com/shorts/SDZqIHQtZfM,https://www.youtube.com/embed/SDZqIHQtZfM,https://i4.ytimg.com/vi/SDZqIHQtZfM/hqdefault.jpg,highlights,1,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10
beIN SPORTS,YouTube,Media,mcm4b3Voiu0,‫👀⚽ أوقفوا الفيديو للحظة... كم ركلة يمكنكم توقّع وجهتها بشكل صحيح؟‬,2026-06-08T14:32:11+00:00,2026-06-09T06:58:25+00:00,beIN SPORTS,https://www.youtube.com/shorts/mcm4b3Voiu0,https://www.youtube.com/embed/mcm4b3Voiu0,https://i2.ytimg.com/vi/mcm4b3Voiu0/hqdefault.jpg,fifa,1,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10
beIN SPORTS,YouTube,Media,qsJs2zzJ6Xc,‫‫🇧🇷✨ نيمار يستعد لمحاولة أخيرة في كأس العالم... ما هي النسخة التي أعجبتكم أكثر؟ 🤔‬‬,2026-06-08T12:33:34+00:00,2026-06-09T06:44:57+00:00,beIN SPORTS,https://www.youtube.com/shorts/qsJs2zzJ6Xc,https://www.youtube.com/embed/qsJs2zzJ6Xc,https://i2.ytimg.com/vi/qsJs2zzJ6Xc/hqdefault.jpg,fifa,1,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10
Canada Soccer,YouTube,Canada,qz5MH_xyu5g,Crepeau's Clutch Save! | CANMNT vs Ireland Highlights,2026-06-06T03:59:47+00:00,2026-06-06T07:01:39+00:00,Canada Soccer,https://www.youtube.com/watch?v=qz5MH_xyu5g,https://www.youtube.com/embed/qz5MH_xyu5g,https://i2.ytimg.com/vi/qz5MH_xyu5g/hqdefault.jpg,highlights,1,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10
Canada Soccer,YouTube,Canada,WxCHNrgFTPc,The People's Team | On Guard: CANMNT | Season 2 Episode 3,2026-06-01T02:16:43+00:00,2026-06-08T23:15:08+00:00,Canada Soccer,https://www.youtube.com/watch?v=WxCHNrgFTPc,https://www.youtube.com/embed/WxCHNrgFTPc,https://i4.ytimg.com/vi/WxCHNrgFTPc/hqdefault.jpg,world cup,1,True,,metadata_embed_only,metadata_embed_transcript_if_available,no,2026-06-10
