match_id,group,team_a,team_b,team_a_strength,team_b_strength,strength_delta_a_minus_b,rank_delta_a_minus_b,form_delta_a_minus_b,opponent_adjusted_form_delta_a_minus_b,attack_efficiency_delta_a_minus_b,defense_resilience_delta_a_minus_b,attack_vs_defense_delta_a,attack_vs_defense_delta_b,fitness_delta_a_minus_b,fitness_risk_delta_a_minus_b,squad_depth_delta_a_minus_b,scorer_goal_delta_a_minus_b,data_confidence_min,source_reliability_min,historical_matches,h2h_edge_a_minus_b
A1,A,Mexico,South Africa,66.373,44.633,21.74,-45,20.77,18.25,4.119,21.951,6,-9,1.0,-4.375,24.669,3,0.57,0.85,4,0.25
A2,A,Korea Republic,Czechia,62.083,56.047,6.036,-16,1.98,13.917,-3.31,20.351,1,-2,0.0,0.0,0.55,9,0.59,0.85,3,0.0
B1,B,Canada,Bosnia and Herzegovina,57.536,45.222,12.314,-35,9.76,8.528,-14.154,41.228,5,1,0.0,0.0,1.65,-5,0.595,0.85,0,0.0
D1,D,USA,Paraguay,58.063,51.618,6.445,-24,-4.2,10.111,16.352,-37.271,2,-4,0.0,80.0,24.069,24,0.545,0.85,9,0.333
C1,C,Haiti,Scotland,37.756,55.02,-17.264,40,-17.01,-10.0,-23.534,2.667,-13,12,0.0,0.0,-6.05,-23,0.55,0.85,0,0.0
D2,D,Australia,Turkiye,55.085,66.06,-10.975,5,-31.84,-6.972,-25.163,7.168,-5,6,0.0,0.0,-3.3,-17,0.62,0.85,2,-1.0
C2,C,Brazil,Morocco,73.955,72.068,1.888,-2,-7.92,8.139,2.33,-29.361,7,-4,0.0,3.125,5.35,-4,0.603,0.85,3,0.333
B2,B,Qatar,Switzerland,37.109,65.883,-28.774,36,-39.96,-47.973,-39.189,-43.887,-14,12,0.0,0.0,-7.15,-7,0.59,0.85,1,1.0
